day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,mean_accuracy
77,-0.742451741,-2.19771037,1.197405621,-0.58653449,-0.513712163,0.306579671,-2.171261283,,-1.98498749,-2.018380143,-2.330016584,-3.313202483,-3.067742478,-5.921311992,0.777617444,0.423018597,0.14787143,0.017312377
78,-0.618709784,-2.122503551,1.272243472,-0.553490293,-0.474195843,0.306579671,-2.26884606,,-1.918265221,-1.984024736,-2.097844113,-3.061566851,-3.000504286,-5.842466293,0.232483566,0.383111182,0.233481205,0.016481448
79,-0.78369906,-2.080721985,1.405288541,-0.58653449,-0.466292579,0.251552551,-2.236317801,,-1.851542952,-1.838014257,-1.998341625,-3.07834256,-2.798789713,-5.739966885,0.192400192,0.454944529,0.264612032,0.016267101
80,-0.750701204,-1.930308348,1.388657908,-0.570012392,-0.450486051,0.212247465,-1.951695535,,-1.618015013,-1.752125741,-1.990049751,-2.8686462,-2.807194486,-5.724197745,0.080166747,0.383111182,0.31909098,0.015497942
81,-0.618709784,-1.921952035,1.363711957,-0.578273441,-0.482099107,0.172942379,-1.732129788,,-1.459549625,-1.743536889,-1.907131012,-2.684113404,-2.697932426,-5.605929197,0.160333494,0.263388938,0.140088723,0.014707389
82,-0.585711929,-1.888526782,1.355396641,-0.545229244,-0.347743618,0.094332207,-1.772790111,,-1.484570475,-1.631881817,-1.981757877,-2.499580607,-2.639099008,-5.37727667,0.13628347,0.231463006,0.264612032,0.01427266
83,-0.61046032,-1.930308348,1.413603858,-0.470879802,-0.316130562,0.157220344,-1.732129788,,-1.417848207,-1.588937559,-1.940298507,-2.382150646,-2.571860817,-5.148624143,0.072150072,0.103759278,0.303525566,0.01384993
84,-0.643458175,-1.963733601,1.505072343,-0.363486163,-0.466292579,0.117915258,-1.683337399,,-1.376146789,-1.434338229,-1.782752902,-2.432477772,-2.42897966,-4.975163605,-0.072150072,0.231463006,0.373569928,0.013656461
85,-0.808447451,-1.880170469,1.67137868,-0.272614622,-0.600648068,0.117915258,-1.553224364,,-1.409507923,-1.357038564,-1.550580431,-2.33182352,-2.328122374,-5.069778444,-0.016033349,0.287333387,0.287960153,0.013464111
86,-0.899191553,-1.855101529,1.67137868,-0.355225114,-0.885165573,0.180803396,-1.545092299,,-1.217681401,-1.288327751,-1.475953566,-2.273108539,-2.185241217,-4.714972798,-0.048100048,0.183574108,0.202350377,0.013113292
87,-0.816696915,-1.570986881,1.654748046,-0.305658819,-1.090650439,0.180803396,-1.553224364,,-1.209341118,-1.271150047,-1.434494196,-2.088575742,-2.067574382,-4.707088228,0.192400192,0.391092665,0.108957896,0.012902152
88,-0.742451741,-1.587699507,1.621486779,-0.264353573,-1.422587529,0.19652543,-1.349922745,,-1.201000834,-1.202439234,-1.343283582,-2.138902869,-1.949907547,-4.620357959,0.200416867,0.383111182,-0.046696241,0.012669465
89,-0.775449596,-1.587699507,1.688009313,-0.355225114,-1.454200585,0.125776275,-1.292998292,,-1.000834028,-1.090784162,-1.243781095,-1.945982218,-1.781812069,-4.494204841,0.296616963,0.287333387,0.062261655,0.012176856
90,-0.808447451,-1.629481073,1.430234492,-0.272614622,-0.395163202,-0.031444069,-1.349922745,,-1.142618849,-1.228205789,-1.426202322,-1.836940111,-1.949907547,-4.399590002,0.400833734,0.375129699,0.054478948,0.011707009
