day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean_accuracy
41,-1.072430292031018,-4.579259630650957,0.008315316813570596,-1.379595208591491,0.7033905002766142,1.556481408694285,-6.188501260470034,-5.906330588137426,3.711426188490409,1.8380142574937732,4.06301824212272,1.8453279651065257,0.529500756429652,0.5992273121501223,3.1906365239698573,1.74794476813792,-0.5370067709549381,-1.6964001274291176,0.02286267062108357
42,-1.072430292031018,-4.629397509818668,-0.06652253450856477,-1.6191656340355225,0.5453252193155773,1.1791525823441553,-6.050256160039034,-5.898011812661176,3.678065054211843,2.069913252598128,3.922056384742952,1.8453279651065257,0.5967389477223062,0.6307655917369708,3.0303030303030303,1.7319818022188522,-0.2879601525410538,-1.083147499203568,0.02218695634729942
43,-1.1879227850189737,-4.495696498704771,0.12472975220355895,-1.379595208591491,0.5295186912194737,1.320650892225454,-5.651784988208506,-5.981199567423675,3.377814845704754,1.9324916258696212,3.7396351575456053,1.9459822177486998,0.41183392166750715,0.33903650555862175,2.7417027417027415,1.9155559102881314,-0.4280488753988637,-1.083147499203568,0.021436859824602236
44,-0.7919485233459824,-4.428845993147823,0.17462165308498254,-1.321767864518794,0.33984035406622937,1.399261064381731,-5.6029925998210945,-6.214125280758672,3.419516263552961,1.8208365541527098,3.5406301824212267,1.560140915953699,0.45385779122541603,0.30749822597177323,2.396985730319064,1.8437225636523267,-0.3502218071445249,-1.0353615801210576,0.020556763859800035
45,-0.9239399439036462,-4.403777053563967,0.19125228671212371,-1.057414291615035,0.3872599383545404,1.2892068233629432,-5.6029925998210945,-6.214125280758672,3.1276063386155126,1.8122477024821781,3.45771144278607,1.3672202650561986,0.7732391998655237,0.2049988173145155,2.541285874619208,1.9155559102881314,-0.47474511635146704,-0.9477540618031219,0.020384629415152195
46,-0.9816861903976241,-4.1113060917523185,0.13304506901712954,-0.950020652622883,0.29242076977791825,1.2577627545004324,-5.269577945840449,-5.839780384327427,2.8773978315262716,1.8809585158464315,3.134328358208955,1.2330145948666331,0.722810556396033,0.16557596783095482,2.284752284752285,1.692074387421183,-0.49809323682776874,-1.0194329404268876,0.019080021406855326
47,-0.8001979871308365,-4.245007102866215,0.26609013803425907,-1.1813300289136721,0.15016201691298506,1.3599559783035926,-4.83857851508498,-6.031112220281175,2.9107589658048374,1.8036588508116465,3.0928689883913765,1.3923838282167422,0.7060010085728694,0.19711424741780337,2.340869007535674,1.89161146140953,-0.2879601525410538,-0.9397897419560369,0.019130805688991823
48,-0.9569377990430622,-4.203225536893123,0.08315316813570597,-0.9995869475423379,0.18177507310519245,1.2499017372848047,-4.562088314222981,-6.247400382663672,2.7773144286905755,1.7349480374473931,3.0348258706467663,1.4175473913772856,0.7060010085728694,0.3153827958684854,2.2286355619688956,1.8038151488546574,-0.25682932523931823,-0.8203249442497611,0.018655385262114937
49,-0.9486883352582082,-4.102949778557701,0.2577748212206885,-1.2639405204460967,0.25290444953765906,1.2499017372848047,-4.391314954867041,-6.089343648614924,2.8023352793995,1.6490595207420768,3.0928689883913765,1.3672202650561986,0.7060010085728694,0.26019080659150046,2.0362353695687028,1.7639077340569878,-0.07782706825433887,-0.8999681427206117,0.018451351349522933
50,-0.9321894076885002,-4.2700760424500706,0.473973058373524,-0.9913258983890955,0.205484865249348,1.2263186856379216,-4.2205415955111,-6.205806505282423,2.994161801501251,1.5803487073778235,2.868988391376451,1.5517530615668513,0.33619095646327113,0.2838445162816368,1.7316017316017316,1.6761114215021151,0.0544789477780372,-1.0273972602739725,0.018128107141280624
51,-0.9569377990430622,-4.069524525779227,0.681855978712789,-0.7847996695580339,0.2133881292973998,1.36781699551922,-4.131088883467513,-6.164212627901173,2.810675562969141,1.374216267285064,2.736318407960199,1.2749538668008724,0.44545301731383424,0.18922967752109124,1.7797017797017798,1.6202410407853778,-0.015565413650867773,-0.7884676648614207,0.01744691517118226
